language_1,language_2,similarity,feature_set
eng,fra,0.7682942274482488,syntax_average
eng,deu,0.790461761568771,syntax_average
eng,spa,0.8497078973215558,syntax_average
eng,ita,0.7500432979486678,syntax_average
eng,nld,0.7142227095762046,syntax_average
eng,por,0.7518059685469489,syntax_average
eng,pol,0.6560385622664535,syntax_average
eng,swe,0.7968384943457842,syntax_average
eng,dan,0.7290553470189489,syntax_average
eng,nor,0.6977112828122418,syntax_average
eng,fin,0.7113934158568349,syntax_average
eng,ell,0.7318902983928413,syntax_average
eng,ron,0.7040309447684223,syntax_average
eng,mlt,0.22499992968050173,syntax_average
eng,hun,0.6346488708581817,syntax_average
eng,ces,0.5528792306877072,syntax_average
eng,slk,0.0,syntax_average
eng,bul,0.7878398790430758,syntax_average
eng,hrv,0.3354100917988496,syntax_average
eng,lit,0.5150990675692991,syntax_average
eng,lav,0.612461260576577,syntax_average
eng,est,0.7183686469393377,syntax_average
eng,isl,0.7580375027292816,syntax_average
eng,zho,0.7349491807538572,syntax_average
eng,ara,0.6547410409640891,syntax_average
eng,tur,0.4336373657766607,syntax_average
eng,hin,0.5879492769549918,syntax_average
eng,ben,0.45073102150144695,syntax_average
eng,jpn,0.496265689980709,syntax_average
eng,kor,0.5566157278438035,syntax_average
eng,rus,0.7573860543982622,syntax_average
eng,urd,0.5001498509487807,syntax_average
eng,vie,0.6491969294683302,syntax_average
eng,tha,0.6519900079806604,syntax_average
eng,ind,0.7161447059640011,syntax_average
eng,fas,0.4225759388532741,syntax_average
fra,deu,0.7462817092621967,syntax_average
fra,spa,0.8021667504759897,syntax_average
fra,ita,0.6813744595888669,syntax_average
fra,nld,0.6937459350943205,syntax_average
fra,por,0.7449088385317149,syntax_average
fra,pol,0.657412671561257,syntax_average
fra,swe,0.7708288167714672,syntax_average
fra,dan,0.7134772412317412,syntax_average
fra,nor,0.7067142711473182,syntax_average
fra,fin,0.6547025638896897,syntax_average
fra,ell,0.7402747106841838,syntax_average
fra,ron,0.6911688761383645,syntax_average
fra,mlt,0.2892406104248749,syntax_average
fra,hun,0.5558689508785206,syntax_average
fra,ces,0.5614031473417997,syntax_average
fra,slk,0.0,syntax_average
fra,bul,0.7263517980746541,syntax_average
fra,hrv,0.3233808333817773,syntax_average
fra,lit,0.5938277428340244,syntax_average
fra,lav,0.6755660236665675,syntax_average
fra,est,0.6577245096852833,syntax_average
fra,isl,0.7405316311773547,syntax_average
fra,zho,0.5556722905326845,syntax_average
fra,ara,0.7094522753379078,syntax_average
fra,tur,0.4758310373605149,syntax_average
fra,hin,0.6034336944792348,syntax_average
fra,ben,0.478571312438726,syntax_average
fra,jpn,0.43061984665149766,syntax_average
fra,kor,0.4502420729732171,syntax_average
fra,rus,0.7108499398350661,syntax_average
fra,urd,0.4410467700208026,syntax_average
fra,vie,0.5838366509417529,syntax_average
fra,tha,0.5893198171778409,syntax_average
fra,ind,0.6733830751396237,syntax_average
fra,fas,0.5194624816493197,syntax_average
deu,spa,0.7086448660794856,syntax_average
deu,ita,0.6964319035072436,syntax_average
deu,nld,0.856136992879168,syntax_average
deu,por,0.6794988539085997,syntax_average
deu,pol,0.6720594602673192,syntax_average
deu,swe,0.7441190685772208,syntax_average
deu,dan,0.7076811200773807,syntax_average
deu,nor,0.8069341393746665,syntax_average
deu,fin,0.6518495391126583,syntax_average
deu,ell,0.8088553291022443,syntax_average
deu,ron,0.6942969819222197,syntax_average
deu,mlt,0.22517598751224044,syntax_average
deu,hun,0.6664563090452537,syntax_average
deu,ces,0.6651488835999002,syntax_average
deu,slk,0.0,syntax_average
deu,bul,0.6455468420895227,syntax_average
deu,hrv,0.33567254331867563,syntax_average
deu,lit,0.6439174636532711,syntax_average
deu,lav,0.7012442975435162,syntax_average
deu,est,0.6206587521543037,syntax_average
deu,isl,0.8591121014790615,syntax_average
